texto,label
"amoxicilina tri-hidratada 
Pó para suspensão oral 
250 mg/5mL e 500 mg/5mL 
Amoxicilina _ pó para suspensão_V13_VP 
amoxicilina tri-hidratada 
Medicamento genérico Lei nº 9.787, de 1999.",OUTROS
"Pó para suspensão 250 mg/5 mL ou 500 mg/5 mL: Embalagem contendo 1 frasco com 150 mL (após reconstituição) de amoxicilina 
tri-hidratada + 1 copo dosador. 
USO ORAL 
USO ADULTO E PEDIÁTRICO",OUTROS
"Cada 5 mL de suspensão oral de 250 mg/5mL contém: 
amoxicilina tri-hidratada .......................................................................................................................................... 287 mg*  
**excipientes q.s.p. .................................................................................................................................................. 5 mL 
Cada 5 mL de suspensão oral de 500 mg/5mL contém: 
amoxicilina tri-hidratada ......................................................................................................................................... 574 mg*  
**excipientes q.s.p. ................................................................................................................................................. 5 mL 
*Cada 1,148 mg de amoxicilina tri-hidratada equivalem a 1 mg de amoxicilina anidra. 
**Excipientes: dióxido de silício, benzoato de sódio, corante eritrosina,  goma xantana, citrato de sódio di-hidratado, aroma de tutti 
frutti/guaraná e sacarose. 
INFORMAÇÕES À PACIENTE",COMPOSICAO
"A amoxicilina tri-hidratada, um antibiótico eficaz contra grande variedade de bactérias, é indicada para tratamento de infecções 
bacterianas causadas por germes sensíveis à ação da amoxicilina. Entretanto, seu médico pode receitar este medicamento para outro uso. 
Se desejar mais informações, pergunte ao seu médico.",INDICACAO
"Este medicamento contém uma penicilina chamada amoxicilina como ingrediente ativo. A amoxicilina pertence ao grupo dos antibióticos 
penicillânicos. A amoxicilina tri-hidratada é usada no tratamento de uma gama de infecções causadas por bactérias, que podem 
manifestar-se nos pulmões (pneumonia e bronquite), nas amígdalas (amigdalite), nos seios da face (sinusite), no trato urinário e genital, 
na pele e nas mucosas. A amoxicilina tri-hidratada atua destruindo as bactérias que causam essas infecções.",OUTROS
"Este medicamento não pode ser usado por pessoas alérgicas à amoxicilina, a outros antibióticos penicilínicos ou antibióticos similares, 
chamados cefalosporinas. Se você já teve uma reação alérgica (como erupções da pele) ao tomar um antibiótico, deve conversar com seu 
médico antes de usar amoxicilina tri-hidratada. 
Este medicamento não deve ser usado por mulheres grávidas sem orientação médica ou do cirurgião-dentista.",CONTRAINDICACAO
"A amoxicilina tri-hidratada em suspensão oral contém benzoato de sódio, que é ligeiramente irritante da pele, olhos e mucosas. Isto pode 
aumentar o risco de icterícia em recém-nascidos. 
Antes de iniciar o tratamento com amoxicilina tri-hidratada, informe seu médico: 
- se você já apresentou reação alérgica a algum antibiótico. Isso pode incluir reações na pele ou inchaço na face ou pescoço ou dores no 
peito.  
- se você apresenta febre glandular;  
- se você toma medicamentos usados para prevenir coágulos sanguíneos (anticoagulantes), tais como varfarina, o seu médico fará um 
monitoramento, e se necessário, poderá sugerir ajustes na dose dos anticoagulantes;  
- se você apresenta problema nos rins;  
- se você não estiver urinando regularmente;  
- se você já teve diarreia durante ou após o uso de antibióticos.  
O uso prolongado também pode resultar, ocasionalmente, em supercrescimento de microrganismos resistentes a amoxicilina tri-hidratada. 
Amoxicilina _ pó para suspensão_V13_VP 
Amoxicilina tri-hidratada pode piorar algumas condições existentes ou causar efeitos colaterais graves, como reações alérgicas severas, 
reações cutâneas severas, dor no peito, vômitos repetitivos dentro de 1 a 4 horas após a administração de amoxicilina tri-hidratada ou 
diarreia grave (colite pseudomembranosa). Você deve estar atento a determinados sintomas enquanto estiver recebendo amoxicilina tri-
hidratada para ajudar a reduzir o risco de quaisquer problemas. 
Efeitos sobre a capacidade de dirigir veículos e de operar máquinas 
Não se observaram efeitos adversos sobre a capacidade de dirigir veículos e de operar máquinas. 
Atenção: este medicamento contém açúcar, portanto deve ser usado com cautela em portadores de diabetes.  
Gravidez e amamentação 
O medicamento amoxicilina tri-hidratada pode ser usado na gravidez desde que os benefícios potenciais sejam maiores que os riscos 
potenciais associados ao tratamento. Informe seu médico se você estiver grávida ou suspeitar que está grávida. Você não deve tomar este 
medicamento se estiver grávida, exceto se seu médico recomendar. 
Você pode amamentar seu bebê enquanto estiver tomando amoxicilina tri-hidratada, mas há excreção de quantidades mínimas de 
amoxicilina no leite materno. Se você estiver amamentando, informe ao seu médico antes de iniciar o tratamento com amoxicilina tri-
hidratada. 
Este medicamento não deve ser usado por mulheres grávidas sem orientação médica ou do cirurgião-dentista. 
Uso compatível com o aleitamento ou doação de leite humano. O uso desse medicamento não interfere no aleitamento do bebê. 
Este produto contém benzoato de sódio, que pode causar reações alérgicas, como asma, especialmente em pessoas alérgicas ao 
ácido acetilsalicílico.  
Uso em idosos, crianças e outros grupos de risco 
As recomendações especiais se referem às dosagens  (ver Posologia em Como Devo Usar Este Medicamento?). 
Não há contraindição relativa a faixas etárias.",OUTROS
"Alguns medicamentos podem causar efeitos indesejáveis se você os ingerir durante o tratamento com amoxicilina tri-hidratada. Não deixe 
de avisar seu médico caso você esteja tomando: 
- medicamentos usados no tratamento de gota (probenecida ou alopurinol);  
- outros antibióticos;  
- pílulas anticoncepcionais (como acontece com outros antibióticos, talvez sejam necessárias precauções adicionais para evitar a 
gravidez);  
- anticoagulantes; 
- metotrexato (usado para tratar doenças como câncer e psoríase grave).  
A alimentação não interfere na ação de amoxicilina tri-hidratada, que pode ser ingerida nas refeições. 
Informe seu médico ou cirurgião-dentista se você está fazendo uso de algum outro medicamento.  
Não use medicamento sem o conhecimento de seu médico. Pode ser perigoso para sua saúde. 
É importante utilizar este medicamento durante todo o tempo prescrito pelo profissional de saúde habilitado, mesmo que os sinais 
e sintomas da infecção tenham desaparecido, pois isso não significa a cura. A interrupção do tratamento pode contribuir para o 
aparecimento de infecções mais graves",OUTROS
"Cuidados de armazenamento 
Manter fora do alcance de crianças 
Conservar em temperatura ambiente (entre 15°C e 30°C). Proteger da luz e umidade. 
Estabilidade da suspensão após reconstituição: Este medicamento mantém sua potência antibiótica por até 14 dias quando conservado 
em temperatura ambiente (entre 15°C e 30°C). Após este prazo, despreze a suspensão não utilizada. 
Número de lote e datas de fabricação e validade: vide embalagem. 
Não use medicamento com o prazo de validade vencido. Guarde-o em sua embalagem original. 
Após o preparo , manter o produto por até 14 dias em temperatura ambiente (entre 15°C e 30°C). 
Características do produto: Pó branco a levemente róseo à rosa. 
Características do produto após reconstituição: suspensão rósea e homogênea. 
Amoxicilina _ pó para suspensão_V13_VP 
Antes de usar, observe o aspecto do medicamento. Caso ele esteja no prazo de validade e você observe alguma mudança no 
aspecto, consulte o farmacêutico para saber se poderá utilizá-lo. 
Todo medicamento deve ser mantido fora do alcance das crianças.",OUTROS
"Modo de usar 
Importante: AGITE BEM O FRASCO ANTES DE ADICIONAR A ÁGUA. 
Siga as orientações de seu médico sobre a maneira e a hora correta de tomar o medicamento. Ele vai decidir a quantidade diária que 
você precisa e o tempo durante o qual você deve usar o medicamento. 
Leia esta bula com cautela. Se você tiver alguma dúvida, fale com seu médico. 
Recomenda-se ingerir o medicamento nas refeições, embora ele continue eficaz mesmo que você o tome em outros horários. 
Continue tomando este medicamento até o fim do tratamento prescrito pelo médico. Não pare somente porque se sente melhor. 
Preparo da suspensão 
Verifique se o selo está intacto antes do uso do produto 
Antes de preparar a suspensão, 
com o frasco ainda lacrado, agite 
bem para que o pó se solte das 
paredes, conforme FIGURA 1. 
Adicione água filtrada até a marca 
impressa no rótulo, conforme 
FIGURA 2. 
Recoloque a tampa e agite o frasco 
até que se forme uma suspensão 
homogênea, conforme FIGURA 3. 
Verifique se a mistura atingiu a 
marca 
indicada 
no 
rótulo, 
conforme FIGURA 4. 
ISTO É  
IMPORTANTE! 
Caso contrário, adicione mais 
água até a marca e torne a agitar o 
frasco. 
Uma regra simples é tomar amoxicilina às 7 h da 
manhã, às 3 h da tarde e as 11 h da noite, no regime 
de três vezes ao dia, caso a caso, e conforme 
prescrição médica. 
Utilize o copo dosador para tomar o medicamento.  
Agite a suspensão oral antes de usá-la. 
Cuidados de conservação após reconstituição 
Este medicamento mantém sua potência antibiótica por até 14 dias quando conservado em temperatura ambiente (entre 15°C e 30°C). 
Após este prazo, despreze a suspensão não utilizada.",POSOLOGIA
